"_id.Company",_id.month,_id.product_category,total_imports,toal_quantity
ALCATEL,1,OTHER PRODUCTS,32730.469999999998,96.0
HUAWEI,6,CABLE OTHER,86.67,4.0
ALCATEL,1,SWITCHING AND ROUTING,40330.009999999995,41.0
HUAWEI,1,SWITCHING AND ROUTING,2843950.2199999993,99057.0
HUAWEI,4,BASE STATION,5514590.35,55.0
HUAWEI,1,BATTERIES,7578.01,2.0
HUAWEI,8,MOBILE PHONE,262179.76999999996,5130.0
ALCATEL,1,POWER SYSTEM,756.99,1.0
CISCO,5,SWITCHING AND ROUTING,73934.47,119.0
ALCATEL,3,OTHER PRODUCTS,10549.760000000004,27.0
HUAWEI,1,MOBILE PHONE,938337.0299999999,7820.0
ALCATEL,6,CABINET,1306.38,2.0
ALCATEL,2,OTHER PRODUCTS,11128.059999999998,30.0
HUAWEI,3,MOBILE PHONE,875262.59,7239.0
HUAWEI,5,MICROWAVE,228634.19,114.0
HUAWEI,3,POWER SYSTEM,314.05,25.0
ALCATEL,2,SWITCHING AND ROUTING,26027.589999999997,56.0
ALCATEL,2,POWER SYSTEM,2450.29,7.0
ALCATEL,3,POWER SYSTEM,491.98,1.0
ALCATEL,5,SWITCHING AND ROUTING,121084.01,36.0
HUAWEI,2,CAMERA,3875.54,6.0
ALCATEL,5,MICROWAVE,5741.3,6.0
DIGITEC,8,OTHER PRODUCTS,26030.68,8.0
ALCATEL,3,SWITCHING AND ROUTING,21004.84,8.0
ZTE,1,SERVERS,340.53,2.0
ALCATEL,3,BATTERIES,1850.0,4.0
ALCATEL,3,CABLE OTHER,1469.7,1.0
HUAWEI,6,BASE STATION,1712377.46,66.0
ALCATEL,8,CABINET,482.75,3.0
ALCATEL,4,SWITCHING AND ROUTING,88065.95000000001,33.0
ALCATEL,4,OTHER PRODUCTS,276426.83999999997,320.0
NOKIA,3,POWER SYSTEM,1155.02,3.0
ALCATEL,6,SERVERS,416.75,1.0
HUAWEI,1,MICROWAVE,2389.19,1.0
ALCATEL,4,POWER SYSTEM,2064.91,1.0
ALCATEL,4,BATTERIES,8389.48,53.0
HUAWEI,5,POWER SYSTEM,26291.010000000002,4.0
ALCATEL,5,OTHER PRODUCTS,38245.39000000001,137.0
DIGITEC,5,SWITCHING AND ROUTING,334477.56,2.0
CISCO,1,OTHER PRODUCTS,4.869999999999999,2.0
ALCATEL,8,OTHER PRODUCTS,4871.53,43.0
HUAWEI,8,SERVERS,1601532.2599999998,27.0
ALCATEL,5,BATTERIES,1416.56,16.0
HUAWEI,8,CABINET,369.32,2.0
ALCATEL,5,POWER SYSTEM,492.82,1.0
ALCATEL,6,SWITCHING AND ROUTING,84381.69,74.0
HUAWEI,4,SERVERS,1470.03,2.0
ALCATEL,6,MICROWAVE,872.46,1.0
ALCATEL,6,OTHER PRODUCTS,10083.849999999999,28.0
ZTE,4,CABLE OTHER,147.54,29.0
ALCATEL,7,SWITCHING AND ROUTING,75575.24,180.0
ALCATEL,7,CABLE OTHER,15.41,3.0
HUAWEI,3,SWITCHING AND ROUTING,5227117.050000002,174.0
CISCO,8,OTHER PRODUCTS,353.06,1.0
ALCATEL,7,OTHER PRODUCTS,1797.71,5.0
CISCO,5,OTHER PRODUCTS,210.25,3.0
HUAWEI,5,SWITCHING AND ROUTING,7872609.41,175.0
ALCATEL,7,BATTERIES,8546.65,7.0
ALCATEL,8,SWITCHING AND ROUTING,144359.09,15.0
ALCATEL,8,LICENSE,3073.4,2.0
ALCATEL,8,SERVERS,6861.81,1.0
ALCATEL,8,POWER SYSTEM,230.04,1.0
HUAWEI,6,OTHER PRODUCTS,17894.29,241.0
ALCATEL,8,BASE STATION,384.16,2.5
ALCATEL,8,MICROWAVE,1184.36,7.0
CISCO,3,OTHER PRODUCTS,179.46,6.0
NOKIA,6,POWER SYSTEM,2450.24,8.0
CISCO,4,OTHER PRODUCTS,6089.88,1.0
NOKIA,6,CABLE OTHER,9.55,2.0
CISCO,7,OTHER PRODUCTS,19.69,18.0
CISCO,7,SWITCHING AND ROUTING,2149.37,258.0
CISCO,8,SWITCHING AND ROUTING,2172.4799999999996,4.0
HUAWEI,2,SWITCHING AND ROUTING,3158578.8799999994,3175.0
HUAWEI,2,MICROWAVE,105737.37,150.0
HUAWEI,1,CABLE OTHER,143.74,9.0
HUAWEI,2,BASE STATION,1326498.26,53.0
NOKIA,4,CABLE OTHER,292.19,1.0
NOKIA,5,SERVERS,53712.770000000004,2.0
HUAWEI,3,BASE STATION,3612879.0,91.0
CISCO,3,SWITCHING AND ROUTING,1892.06,6.0
HUAWEI,4,SWITCHING AND ROUTING,11732331.400000002,934.0
HUAWEI,5,BASE STATION,2090344.1899999997,745.0
DIGITEC,1,SWITCHING AND ROUTING,15419.260000000002,3.0
HUAWEI,5,MOBILE PHONE,1592689.6,19171.0
CISCO,6,SWITCHING AND ROUTING,5223.98,2.0
ZTE,6,SWITCHING AND ROUTING,113431.45999999999,2061.0
HUAWEI,6,MOBILE PHONE,327930.14,877.0
ZTE,7,SWITCHING AND ROUTING,86397.41,1014.0
ZTE,7,MOBILE PHONE,446983.11,8200.0
HUAWEI,7,SWITCHING AND ROUTING,2743519.0600000005,460.0
HUAWEI,7,POWER SYSTEM,1449.24,30.0
HUAWEI,7,SERVERS,712777.55,4.0
HUAWEI,8,SWITCHING AND ROUTING,5615796.950000001,82.0
HUAWEI,6,SERVERS,53778.11,2.0
ZTE,8,MOBILE PHONE,105047.93,2000.0
HUAWEI,8,MICROWAVE,28963.02,48.0
HUAWEI,2,SERVERS,682860.25,2.0
HUAWEI,7,MOBILE PHONE,131321.23,283.0
HUAWEI,2,BATTERIES,17903.32,35.0
ALCATEL,4,LICENSE,246804.83999999997,5.0
ALCATEL,5,CABINET,2365.42,2.0
ALCATEL,5,SERVERS,847.24,4.0
HUAWEI,5,OTHER PRODUCTS,36720.84999999999,336.0
HUAWEI,5,BATTERIES,54717.77,105.0
HUAWEI,6,MICROWAVE,15602.66,728.0
HUAWEI,7,TABLET,24.5,2.0
DIGITEC,5,OTHER PRODUCTS,48294.46000000001,35.0
HUAWEI,6,SWITCHING AND ROUTING,2223018.02,166.0
ALCATEL,6,POWER SYSTEM,12260.68,14.0
DIGITEC,1,OTHER PRODUCTS,149205.5,327.0
DIGITEC,2,OTHER PRODUCTS,140760.95,149.0
DIGITEC,2,SWITCHING AND ROUTING,3526.94,2.0
DIGITEC,3,OTHER PRODUCTS,21913.79,24.0
DIGITEC,3,SWITCHING AND ROUTING,9496.22,28.0
DIGITEC,4,OTHER PRODUCTS,4497.55,155.0
DIGITEC,4,SWITCHING AND ROUTING,18608.33,27.0
DIGITEC,4,BATTERIES,1359.61,1.0
DIGITEC,5,LICENSE,51.19,1.0
DIGITEC,6,OTHER PRODUCTS,298.2,14.0
ZTE,5,SWITCHING AND ROUTING,288576.79,13.0
DIGITEC,6,SWITCHING AND ROUTING,1534.6799999999998,3.0
DIGITEC,7,SWITCHING AND ROUTING,71125.49,16.0
ZTE,7,OTHER PRODUCTS,372.77000000000004,25.0
DIGITEC,7,OTHER PRODUCTS,27876.67,29.0
DIGITEC,7,BATTERIES,260.99,50.0
DIGITEC,8,CABLE OTHER,145.75,1.0
DIGITEC,8,SWITCHING AND ROUTING,116314.37999999999,12.0
HUAWEI,1,POWER SYSTEM,6921.8099999999995,29.0
HUAWEI,1,OTHER PRODUCTS,611362.4600000003,457.0
HUAWEI,1,SERVERS,1459.67,4.0
HUAWEI,1,CAMERA,886.88,40.0
HUAWEI,2,MOBILE PHONE,740087.1200000001,3645.0
HUAWEI,2,TABLET,724.06,5.0
HUAWEI,4,MICROWAVE,2415.32,1.0
HUAWEI,2,OTHER PRODUCTS,5468.03,63.0
NOKIA,6,OTHER PRODUCTS,25037.170000000002,4.0
HUAWEI,2,CABINET,440.66,1.0
HUAWEI,3,CAMERA,4573.33,11.0
HUAWEI,3,OTHER PRODUCTS,15179.98,1552.0
NOKIA,3,OTHER PRODUCTS,188969.56,23.0
HUAWEI,3,TABLET,689.35,4.0
NOKIA,6,SWITCHING AND ROUTING,1237028.1,254.0
HUAWEI,3,CABLE OTHER,101.53,1.0
HUAWEI,4,OTHER PRODUCTS,15027.810000000001,2189.0
HUAWEI,4,MOBILE PHONE,28012.560000000005,199.0
HUAWEI,4,POWER SYSTEM,1338.91,2.0
HUAWEI,4,CABINET,1268.78,4.0
HUAWEI,5,CABINET,2035.4499999999998,5.0
ZTE,1,SWITCHING AND ROUTING,4413.7,80.0
HUAWEI,5,SERVERS,8534.27,2.0
HUAWEI,5,CABLE OTHER,1443.4,12.0
HUAWEI,6,CABINET,1071.74,5.0
HUAWEI,7,BASE STATION,7723.59,3.0
HUAWEI,6,TABLET,457.23,3.0
HUAWEI,7,OTHER PRODUCTS,332.74,41.0
HUAWEI,7,CABLE OTHER,866.59,42.0
HUAWEI,8,CAMERA,12723.25,8.0
